ngay,tenTram,year,month,day,doCaoDinhT,doCaoChanT,wl_mean,residual_peak,alarm_level,tide_max,tide_min,tide_mean,tide_range,tide_mean_lag1,rain,rain_max_intensity,rain_hours,rain_lag1,rain_lag2,rain_lag3,rain_lag7,rain_roll3,rain_roll7,rain_mean3,rain_mean7,month_sin,month_cos,doy_sin,doy_cos,dist_to_river_m,tide_inf_sigmoid,tide_inf_exp,pct_impervious,channel_length_m,channel_density_m_m2,lon,lat
2022-09-27,Củ Chi,2022,9,27,,,,,,4.139,1.517,2.891125,2.6220000000000003,2.9108750000000003,5.2,4.0,3.0,20.4,31.6,11.4,0.4,57.199999999999996,79.0,19.066666666666666,11.285714285714286,-1.0,-1.8369701987210297e-16,-0.9977068927101168,-0.06768276175455162,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-28,Củ Chi,2022,9,28,,,,,,4.349,1.399,2.907875,2.95,2.891125,0.2,0.2,1.0,5.2,20.4,31.6,0.0,25.799999999999997,79.2,8.6,11.314285714285715,-1.0,-1.8369701987210297e-16,-0.9987235240803972,-0.050510617185222886,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-29,Củ Chi,2022,9,29,0.9281543400596004,-0.8208456599403997,0.2102420593578459,-3.2998456599403996,0.0,4.228,1.155,2.9440416666666667,3.0729999999999995,2.907875,4.4,0.6,16.0,0.2,5.2,20.4,1.0,9.8,82.6,3.266666666666667,11.799999999999999,-1.0,-1.8369701987210297e-16,-0.9994446170919858,-0.033323525711631344,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-30,Củ Chi,2022,9,30,0.9481543400596004,-0.8608456599403996,0.23768559005960033,-3.1828456599403996,0.0,4.131,1.122,2.9355,3.0090000000000003,2.9440416666666667,0.2,0.2,1.0,4.4,0.2,5.2,9.4,4.800000000000001,73.4,1.6000000000000003,10.485714285714286,-1.0,-1.8369701987210297e-16,-0.9998699583618592,-0.016126573270657762,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-01,Củ Chi,2022,10,1,0.8771543400596002,-0.9418456599403996,0.2074668400596003,-3.0288456599403997,0.0,3.906,0.975,2.8995833333333336,2.931,2.9355,0.4,0.2,2.0,0.2,4.4,0.2,11.4,5.0,62.4,1.6666666666666667,8.914285714285715,-0.8660254037844386,0.5000000000000001,-0.9999994220246925,0.001075151282798226,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-02,Củ Chi,2022,10,2,0.9091543400596004,-0.9418456599403996,0.238008506726267,-2.9118456599403997,0.0,3.821,0.98,2.92,2.841,2.8995833333333336,0.8,0.2,4.0,0.4,0.2,4.4,31.6,1.4000000000000001,31.599999999999998,0.46666666666666673,4.514285714285714,-0.8660254037844386,0.5000000000000001,-0.999832969770105,0.018276557681691223,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-03,Củ Chi,2022,10,3,0.8511543400596004,-1.1348456599403995,0.18035225672626698,-2.928845659940399,0.0,3.78,1.093,2.9312083333333336,2.687,2.92,10.4,5.4,3.0,0.8,0.4,0.2,20.4,11.600000000000001,21.6,3.866666666666667,3.085714285714286,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-04,Củ Chi,2022,10,4,0.8751543400596005,-1.3088456599403997,0.09567864561515588,-3.1228456599404,0.0,3.998,1.282,2.9364166666666667,2.716,2.9312083333333336,0.2,0.2,1.0,10.4,0.8,0.4,5.2,11.399999999999999,16.6,3.7999999999999994,2.3714285714285714,-0.8660254037844386,0.5000000000000001,-0.9986126020839734,0.052658056924614005,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-05,Củ Chi,2022,10,5,0.9591543400596,-1.2958456599403996,0.13573420117071144,-3.1298456599404005,0.0,4.089,1.296,2.9609583333333336,2.793,2.9364166666666667,16.6,9.8,3.0,0.2,10.4,0.8,0.2,27.2,33.0,9.066666666666666,4.714285714285714,-0.8660254037844386,0.5000000000000001,-0.9975590477788613,0.06982797572987089,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-06,Củ Chi,2022,10,6,0.9921543400596003,-1.3458456599403996,0.16990086783737807,-3.1628456599404,0.0,4.155,1.134,2.913958333333333,3.0210000000000004,2.9609583333333336,0.4,0.2,2.0,16.6,0.2,10.4,4.4,17.2,29.0,5.733333333333333,4.142857142857143,-0.8660254037844386,0.5000000000000001,-0.9962102997023297,0.0869772313136861,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
